ISBN,name,one_star_count,two_star_count,three_star_count,four_star_count,five_star_count,average_rating
9786054377763,Dexter Karanlıkta,1287,4332,11940,12147,8092,3.57
9786051429175,666 Park Bulvarı,238,657,1684,1170,510,3.25
9786054377084,Ahmaklar Şöleni - Morganville Vampirleri Serisi 4.Kitap,657,1967,10029,17818,23832,4.15
9786054377367,Karmaşanın Efendisi - Morganville Vampirleri Serisi 5.Kitap,549,1736,8958,15729,21367,4.15
9786051424439,Kaderin Yükselişi - Vampir Günlükleri Avcılar Vol. 3,354,647,1708,1753,2350,3.75
9786057762351,Cadılar Bayramı Ağacı,530,2667,10428,12309,9218,3.77
9786057762917,Körler Ülkesi ve Diğer Karanlık Öyküler-Karanlık Kitaplık,12,68,294,544,355,3.91
9786053751014,Düşüş,434,2162,10980,16273,9746,3.83
9789750743085,Hayaletgören,27,127,254,197,83,3.26
9786257737197,Sapık - Karanlık Kitaplık,711,2251,12847,27314,28341,4.12
9786053759461,Hareket İblisi,10,57,164,293,124,3.72
9786051734170,Gece Yarısı Bir Çığlık Duydum,132,676,2807,3228,2198,3.74
9786051735924,Derin,0,0,0,0,1,5.00
9786257650816,Kan Fermanı,0,0,0,0,0,0.00
9786257650472,Operadaki Hayalet - Karanlık Kitaplık,4259,14627,58462,87217,90260,3.96
9786254489112,Jane Doe,411,1170,4924,9563,8945,4.02
9789751044471,Rüyalar Karabasanlar - 1,0,2,2,5,1,3.50
9789751044464,Dolores Claiborne,2117,9345,38415,38415,52507,3.93
9786054482887,Hepimizin Ölüsü -  Sookie Stackhouse serisi 7.Kitap,1656,6927,43972,78367,73442,4.05
9786054560417,Sonsuz Karanlık,358,1218,7037,15854,19728,4.21
9786054228577,Kulüp Ölüsü - Sookie Stackhouse serisi 3.Kitap,2290,8504,53739,94384,81479,4.02
9786054377695,Ölüler Ölüsü - Sookie Stackhouse serisi 5.Kitap,2111,8036,51023,84949,74882,4.01
9786054482177,Yılın Ölüsü -  Sookie Stackhouse serisi 6.Kitap,1885,7670,47107,80047,70856,4.01
9786051423265,Aile Ölüsü - Sookie Stackhouse serisi 10.Kitap,2082,9724,43465,58561,52904,3.90
9786054560639,Kötünün Ölüsü - Sookie Stackhouse serisi 8.Kitap,1538,7148,43912,73872,65184,4.01
9786054377947,Mezarın Dibinde,854,2224,12393,29957,45438,4.29
9786051425498,Gümüş Gölgeler,493,1444,7455,20166,32899,4.34
9786054228171,Şehir Ölüsü - Sookie Stackhouse serisi 2.Kitap,2733,11151,61567,99325,82674,3.96
9786050058864,Gündüz Ölüsü - Sookie Stackhouse serisi 1.Kitap,14155,31251,117139,182159,204234,3.97
9786051422114,Akıllı Tasarım DEXTER,369,1797,8424,10529,6497,3.76
9786051420400,Şimdi Mezar Zamanı - Bir Gece Avcısı Romanı,347,1369,7683,17585,22882,4.23
9786051424231,Patron Ölüsü - Sookie Stackhouse serisi 11.Kitap,1910,9124,37062,45302,36819,3.81
9786052650028,Lanetli Tavşan,459,2008,8534,13580,6817,3.77
9789751037558,Rüyalar Karabasanlar 3,0,0,4,2,3,3.89
9786258401608,Diğer Taraf - Karanlık Kitaplık,35,182,595,704,510,3.73
9786258327472,Karanlığın Şahidesi,1,9,35,82,47,3.95
9786254482083,Açlık,723,3079,9870,12256,5618,3.60
9789754054217,Göz,9262,33754,175085,288392,260395,3.99
9786054560769,Gizli Çember,254,945,4031,5846,8421,4.090
9786051420905,Altın Zambak Bir Kanbağı Romanı,1327,2883,14877,39154,61747,4.31
9786054482856,Gece Dünyası,1498,3891,12989,18130,29163,4.060
9786054560226,Kanbağı,4039,6630,27909,58645,90856,4.20
9786054377787,Dönüş: Gölge Ruhlar - Vampir Günlükleri 4. Kitap,1927,4232,9871,9720,14164,3.75
9786051426914,Gossip Girl Psikopat Katil,223,306,680,508,556,3.38
9786054560585,Karakan,1437,3525,9280,12498,15748,3.88
9786054482900,Dönüş :GeceYarısı - Vampir Günlükleri 5.Kitap,1305,2865,7041,7001,9828,3.76
9786054228942,Öfke ve Karanlık Buluşma - Vampir Günlükleri 2 .Kitap,2429,6549,16481,16543,19818,3.72
9786055016029,Baba Dışarıda Bir Melek Var!,3,3,13,7,7,3.36
9786257913966,Adak Cilt 1 - Sürgün,0,0,1,13,5,4.21
9789751037541,Rüyalar Karabasanlar 2,0,0,4,3,3,3.90
9786051738352,Aklımızı Yitirdiğimiz Gün,1489,2880,7741,11354,9722,3.75
9786257442039,Cehennem Atlası: Cehennemin Sınırından Altı Öykü,50,189,613,1301,1392,4.070
